conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
v3_LOL_RAW_noisy,0,14,19.23463575294058,0.8428748316323431,0.3056065142154693,11.616500444117952
v3_LOL_RAW_noisy,0,13,16.6164683885615,0.5796380889992613,0.4954406321048736,7.751635903125894
v3_LOL_RAW_noisy,0,12,21.49528088232396,0.8406477317555587,0.3264488875865936,9.875656935793089
v3_LOL_RAW_noisy,0,11,20.64978424687501,0.8241169712919769,0.3135761618614197,6.5292375766801225
v3_LOL_RAW_noisy,0,10,19.11313236672642,0.6895399104226944,0.4444186687469482,6.5080870320346325
v3_LOL_RAW_noisy,0,9,23.31507929248336,0.850829735861003,0.2325068712234497,9.185399764916458
v3_LOL_RAW_noisy,0,8,18.994399394468488,0.6967550184423786,0.450995922088623,11.3685951286382
v3_LOL_RAW_noisy,0,7,17.63322246817367,0.7986282604887792,0.4456108212471008,15.265019366428358
v3_LOL_RAW_noisy,0,6,19.341339611562763,0.8427772546636209,0.3066688776016235,6.5569338159442765
v3_LOL_RAW_noisy,0,5,22.003307826931177,0.8884471848606703,0.2106115818023681,5.4409352603575245
v3_LOL_RAW_noisy,0,4,22.43795349921892,0.8546772298283756,0.2159692645072937,4.95802699559773
v3_LOL_RAW_noisy,0,3,15.55089505865308,0.6785697069688511,0.3218726813793182,3.928264956906963
v3_LOL_RAW_noisy,0,2,16.360272259281757,0.6790757420907352,0.4095109701156616,4.077094736233763
v3_LOL_RAW_noisy,0,1,22.11303472506352,0.8166166490112334,0.3298887610435486,6.174467858692676
v3_LOL_RAW_noisy,0,0,17.675219807905652,0.8292998411334405,0.3041945993900299,7.640410002517327
